Address to use,City,State,Zip,Plus_Four,State,District,Rep_or_Sen,Name,Bio_ID
729 Northeast Oregon Street,Portland,OR,97232,2184,OR,3,Rep,Earl Blumenauer,B000574
121 East Front Street,Traverse City,MI,49684,2500,MI,1,Rep,Dan Benishek,B001271
7121 West Bell Road,Glendale,AZ,85308,8549,AZ,8,Rep,Trent Franks,F000448
101 West 31st Street,Kansas City,MO,64108,3318,MO,5,Rep,Emanuel Cleaver,C001061
163 West 125th Street,New York,NY,10027,4404,NY,13,Rep,Charles Rangel,R000053
540 Water Street,Ketchikan,AK,99901,6378,AK,,Sen,Lisa Murkowski,M001153
110 Michigan Street Northeast,Grand Rapids,MI,49503,2313,MI,3,Rep,Justin Amash,A000367
477 Michigan Avenue,Detroit,MI,48226,2576,MI,,Sen,Debbie Stabenow,S000770
PO Box 1017 ,Sandersville,GA,31082,1017,GA,10,Rep,Jody Hice,H001071
137 Hampton Road,Southampton,NY,11968,4923,NY,1,Rep,Lee Zeldin,Z000017
2930 Wetmore Avenue,Everett,WA,98201,4070,WA,2,Rep,Rick Larsen,L000560
11 North Water Street,Mobile,AL,36602,5000,AL,1,Rep,Bradley Byrne,B001289
4834 Richmond Road,Warrensville Heights,OH,44128,6408,OH,11,Rep,Marcia Fudge,F000455
3469 Lawrenceville Highway,Tucker,GA,30084,5866,GA,4,Rep,Henry Johnson,J000288
1313 West Main Street,Rapid City,SD,57701,2540,SD,,Sen,Mike Rounds,R000605
1609 College Park Drive,Morristown,TN,37813,1659,TN,1,Rep,David Roe,R000582
505 12th Street Southeast,Watertown,SD,57201,4973,SD,0,Rep,Kristi Noem,N000184
10408 Flatlands Avenue ,Brooklyn,NY,11236,2806,NY,8,Rep,Hakeem Jeffries,J000294
400 Monroe Street,Detroit,MI,48226,2944,MI,14,Rep,Brenda Lawrence,L000581
77 Hazard Avenue,Enfield,CT,6082,3890,CT,2,Rep,Joe Courtney,C001069
69 Church St,New Brunswick,NJ,8901,1242,NJ,6,Rep,Frank Pallone,P000034
333 F Street,Chula Vista,OR,91910,2624,OR,,Sen,Ron Wyden,W000779
1341 Fillmore Street,Twin Falls,ID,83301,3392,ID,2,Rep,Michael Simpson,S001148
176 Brooks Boulevard,Santee,SC,29142,8644,SC,6,Rep,James Clyburn,C000537
1755 Tiffany Drive East,West Palm Beach,FL,33407,3224,FL,20,Rep,Alcee Hastings,H000324
108 Lacey Road,Lacey Township,NV,8759,1331,NV,,Sen,Harry Reid,R000146
240 East Morris Avenue,Salt Lake City,UT,84115,3296,UT,4,Rep,Mia Love,L000584
33300 Warren Rd,Westland,MI,48185,9620,MI,13,Rep,John Conyers,C000714
2400 East Arizona Biltmore Circle,Phoenix,AZ,85016,2195,AZ,9,Rep,Kyrsten Sinema,S001191
2461 West State Road 426,Oviedo,FL,32765,4508,FL,7,Rep,John Mica,M000689
888 Washington Boulevard,Stamford,CT,6901,2902,CT,4,Rep,James Himes,H001047
1661 North Swan Road,Tucson,DE,85712,4051,DE,,Sen,Chris Coons,C001088
51 South University Avenue,Provo,UT,84601,4491,UT,3,Rep,Jason Chaffetz,C001076
701 Main Street,Hattiesburg,MS,39401,3478,MS,4,Rep,Steven Palazzo,P000601
115 State Street,Montpelier,VT,5602,2719,VT,,Sen,Bernard Sanders,S000033
2725 Judge Fran Jamieson Way,Melbourne,FL,32940,6605,FL,8,Rep,Bill Posey,P000599
324 East Washington Avenue,Riverton,WY,82001,4353,WY,,Sen,Michael Enzi,E000285
108 Lacey Road,Lacey Township,NV,8759,1331,NV,,Sen,Dean Heller,H001041
2000 Market Street,Philadelphia,PA,19103,3231,PA,,Sen,Patrick Toomey,T000461
90-16 Rockaway Beach Boulevard,Queens,NY,11693,1530,NY,5,Rep,Gregory Meeks,M001137
900 3rd Street,Muskegon,MI,49440,1135,MI,2,Rep,Bill Huizenga,H001058
400 South El Camino Real,San Mateo,CA,94402,1761,CA,14,Rep,Jackie Speier,S001175
1805 East Ruben M Torres Sr Boulevard,Brownsville,TX,78521,1115,TX,,Sen,Ted Cruz,C001098
5309 West 95th Street,Oak Lawn,IL,60453,2444,IL,3,Rep,Daniel Lipinski,L000563
300 Centerville Rd,Warwick,RI,2886,200,RI,2,Rep,James Langevin,L000559
108 Lacey Road,Lacey Township,NM,8759,1331,NM,,Sen,Tom Udall,U000039
1601 Highway 34,Newnan,GA,30265,1325,GA,3,Rep,Lynn Westmoreland,W000796
10075 Ravenna Road,Twinsburg,OH,44087,1718,OH,14,Rep,David Joyce,J000295
375 West Padonia Road,Lutherville-Timonium,MD,21093,2130,MD,2,Rep,C. Ruppersberger,R000576
415 South Mulford Road,Rockford,IL,61108,3011,IL,16,Rep,Adam Kinzinger,K000378
300 Ala Moana Boulevard,Honolulu,HI,96850,1,HI,,Sen,Mazie Hirono,H001042
208 South Minnesota Avenue,Saint Peter,MN,56082,2545,MN,,Sen,Amy Klobuchar,K000367
4167 Church Road,Mount Laurel,NJ,8054,2220,NJ,3,Rep,Tom MacArthur,M001193
1301 Clay Street,Oakland,CA,94612,5233,CA,13,Rep,Barbara Lee,L000551
558 Pleasant Street,Northampton,MA,1060,6246,MA,2,Rep,James McGovern,M000312
4303 Texas Boulevard,Texarkana,TX,75503,3094,TX,4,Rep,John Ratcliffe,R000601
540 Water Street,Ketchikan,AK,99901,6378,AK,,Sen,Dan Sullivan,S001198
4322 Wilshire Boulevard,Los Angeles,CA,90010,3794,CA,,Sen,Barbara Boxer,B000711
915 2nd Avenue,Seattle,WA,98174,1009,WA,,Sen,Maria Cantwell,C000127
425 South Main Street,Emporia,VA,23847,2300,VA,4,Rep,J. Forbes,F000445
39300 Civic Center Drive,Fremont,CA,94538,2324,CA,17,Rep,Michael Honda,H001034
6 State Street,Bangor,ME,4401,5112,ME,2,Rep,Bruce Poliquin,P000611
113 North Church Street,Visalia,CA,93291,6300,CA,22,Rep,Devin Nunes,N000181
120 West 3rd Street,Dayton,OH,45402,1819,OH,10,Rep,Michael Turner,T000463
118 West Main Street,Somerset,PA,15501,2047,PA,12,Rep,Keith Rothfus,R000598
212 West Main Street,Salisbury,MD,21801,5006,MD,,Sen,Barbara Mikulski,M000702
280 Hemsted Drive,Redding,CA,96002,164,CA,1,Rep,Doug LaMalfa,L000578
201 East Nolen Street,West Frankfort,IL,62896,2437,IL,12,Rep,Mike Bost,B001295
74-09 37th Avenue,Queens,NY,11372,6303,NY,14,Rep,Joseph Crowley,C001038
110 West Reynolds Street,Plant City,NE,33563,3377,NE,,Sen,Deb Fischer,F000463
4201 Dominion Boulevard,Glen Allen,VA,23060,6149,VA,7,Rep,Dave Brat,B001290
2000 Sam Rittenberg Boulevard,Charleston,SC,29407,4631,SC,1,Rep,Marshall Sanford,S000051
1717 West 2nd Street,Roswell,NM,88201,2029,NM,2,Rep,Stevan Pearce,P000588
258 1st Street,Fenton,MI,48502,4636,MI,5,Rep,Daniel Kildee,K000380
194 Remsdale Street,Toccoa,GA,30577,1899,GA,9,Rep,Doug Collins,C001093
1231 Lafayette Avenue,Bronx,NY,10474,5331,NY,,Sen,Charles Schumer,S000148
4322 Wilshire Boulevard,Los Angeles,CA,90010,3794,CA,37,Rep,Karen Bass,B001270
266 Harristown Road,Glen Rock,NJ,7452,3321,NJ,5,Rep,Scott Garrett,G000548
1118 Greensboro Avenue,Tuscaloosa,AL,35401,2861,AL,7,Rep,Terri Sewell,S001185
2021 Lakeshore Drive,New Orleans,LA,70122,3501,LA,,Sen,Bill Cassidy,C001075
843 East Main Street,Medford,OR,97504,7137,OR,2,Rep,Greg Walden,W000791
212 West Main Street,Salisbury,MD,21801,5026,MD,1,Rep,Andy Harris,H001052
3333 West Arthington Street,Chicago,IL,60624,4102,IL,7,Rep,Danny Davis,D000096
3111 South Dixie Highway,West Palm Beach,FL,33405,1553,FL,22,Rep,Lois Frankel,F000462
1819 Pepperell Parkway,Opelika,AL,36801,5476,AL,3,Rep,Mike Rogers,R000575
26650 The Old Road,Valencia,CA,91381,750,CA,25,Rep,Steve Knight,K000387
Quartermaster Court,Jeffersonville,IN,47130,3669,IN,9,Rep,Todd Young,Y000064
1634 North Main Street,High Point,NC,27262,2644,NC,6,Rep,Bradley Mark Walker,W000819
6425 Youree Drive,Shreveport,LA,71105,4634,LA,4,Rep,John Fleming,F000456
504 Washington Road,Pittsburgh,PA,15228,2817,PA,18,Rep,Tim Murphy,M001151
1 East Main Street,Bozeman   ,MT,59715,4759,MT,,Sen,Jon Tester,T000464
One Lakeshore Drive,Lake Charles,LA,70629,114,LA,3,Rep,Charles Boustany,B001255
256 North Sam Houston Parkway East,Houston,TX,77060,2028,TX,29,Rep,Gene Green,G000410
220 East Rosser Avenue,Bismarck,ND,58501,3869,ND,,Sen,Heidi Heitkamp,H001069
1011 George Wallace Boulevard,Tuscumbia,AR,35674,1726,AR,,Sen,Tom Cotton,C001095
33 Lowell Street,Andover,MA,1840,1641,MA,3,Rep,Niki Tsongas,T000465
201 North Walnut Street,Wilmington,DE,19801,3998,DE,0,Rep,John Carney,C001083
140 North Queen Street,Lancaster,PA,17603,5318,PA,16,Rep,Joseph Pitts,P000373
50 Washington Rd,West Windsor,NJ,8550,1031,NJ,12,Rep,Bonnie Watson Coleman,W000822
707 East Tahquitz Canyon Way,Palm Springs,CA,92262,101,CA,36,Rep,Raul Ruiz,R000599
800 Oneida Street,Storm Lake,IA,50588,3209,IA,4,Rep,Steve King,K000362
18 9th Street,Columbus,GA,31901,2778,GA,2,Rep,Sanford Bishop,B000490
PO Box 426 ,Livingston,LA,70754,426,LA,6,Rep,Garret Graves,G000577
300 West Plant Street,Winter Garden,FL,34787,3009,FL,10,Rep,Daniel Webster,W000806
48701 Van Dyke Avenue,Shelby Township,MI,48317,2560,MI,10,Rep,Candice Miller,M001150
800 Anna Street,Elizabeth,NJ,7201,2811,NJ,8,Rep,Albio Sires,S001165
534 Broad Hollow Road,Melville,NY,11747,3673,NY,3,Rep,Steve Israel,I000057
300 East Locust Street,Des Moines,IA,50309,1825,IA,3,Rep,David Young,Y000066
712 Main Street,Woodland,CA,95695,3478,CA,3,Rep,John Garamendi,G000559
110 West Reynolds Street,Plant City,NE,33563,3377,NE,,Sen,Benjamin Sasse,S001197
300 Ala Moana Boulevard,Honolulu,HI,96850,1,HI,,Sen,Brian Schatz,S001194
208 Grand Avenue,Wausau,WI,54403,6217,WI,7,Rep,Sean Duffy,D000614
12725 SW Millikan Way,Beaverton,OR,97005,1678,OR,1,Rep,Suzanne Bonamici,B001278
415 South Ohio Avenue,Sedalia,MO,65301,4435,MO,4,Rep,Vicky Hartzler,H001053
503 North Main Street,Pueblo,CO,81003,3132,CO,3,Rep,Scott Tipton,T000470
400 North Main Street,Williamstown,KY,41097,1026,KY,4,Rep,Thomas Massie,M001184
4300 Bayou Boulevard,Pensacola,FL,32503,2679,FL,1,Rep,Jeff Miller,M001144
100 Peachtree Street Northwest,Atlanta,GA,30303,1906,GA,,Sen,David Perdue,P000612
110 North Cameron Street,Winchester,VA,22601,4730,VA,10,Rep,Barbara Comstock,C001105
109 South 3rd Street,Sterling,CO,80751,4220,CO,4,Rep,Ken Buck,B001297
204 W. Montgomery Street,Mount Vernon,WA,98273,3843,WA,1,Rep,Suzan DelBene,D000617
130 South Main Street,Greenville,SC,29601,4870,SC,,Sen,Lindsey Graham,G000359
1726 Kingsley Avenue,Orange Park,FL,32073,4411,FL,3,Rep,Ted Yoho,Y000065
2201 East Camelback Road,Phoenix,AZ,85016,3431,AZ,,Sen,John McCain,M000303
2209 East Market Street,East York,PA,17402,2853,PA,4,Rep,Scott Perry,P000605
1057 West Belmont Avenue,Chicago,IL,60657,3327,IL,5,Rep,Mike Quigley,Q000023
1540 Kuser Road,Hamilton Township,NJ,8619,3828,NJ,4,Rep,Christopher Smith,S000522
1061 Riverside Avenue,Jacksonville,FL,32204,4151,FL,4,Rep,Ander Crenshaw,C001045
11900 College Boulevard,Overland Park,KS,66210,3912,KS,,Sen,Pat Roberts,R000307
105 Jay Street,Schenectady,NY,12305,1905,NY,20,Rep,Paul Tonko,T000469
6525 Morrison Boulevard,Charlotte,NC,28211,501,NC,9,Rep,Robert Pittenger,P000606
61 East Main Street,Wilmington,OH,45177,2330,OH,,Sen,Sherrod Brown,B000944
222 Sunset Avenue,Asheboro,NC,27203,5658,NC,2,Rep,Renee Ellmers,E000291
2700 Adams Avenue,San Diego,CA,92116,1367,CA,53,Rep,Susan Davis,D000598
615 E. Houston Street,San Antonio,TX,78205,2001,TX,28,Rep,Henry Cuellar,C001063
216 6th Street,Racine,WI,53403,1216,WI,1,Rep,Paul Ryan,R000570
4904 George Washington Memorial Highway,Yorktown,VA,23692,2769,VA,1,Rep,Robert Wittman,W000804
412 Malcolm Drive,Westminster,MD,21157,6174,MD,8,Rep,Chris Van Hollen,V000128
11627 Telegraph Road,Whittier,CA,90670,6810,CA,38,Rep,Linda Sanchez,S001156
125 South 4th Street,Norfolk,NE,68701,5200,NE,1,Rep,Jeff Fortenberry,F000449
375 G Street,Vallejo,CA,94592,5706,CA,5,Rep,Mike Thompson,T000460
840 North Park Road,Wyomissing,PA,19610,1307,PA,6,Rep,Ryan Costello,C001106
3130 Chatham Road,Springfield,IL,62704,5379,IL,18,Rep,Aaron Schock,S001179
155 North Market Street,Wichita,KS,67202,1818,KS,4,Rep,Mike Pompeo,P000602
2222 M Street,Merced,CA,95340,3729,CA,16,Rep,Jim Costa,C001059
4245 Kemp Boulevard,Wichita Falls,TX,76308,2829,TX,13,Rep,Mac Thornberry,T000238
3550 Southwest 5th Street,Topeka,KS,66606,1998,KS,2,Rep,Lynn Jenkins,J000290
605 Church Street,Nashville,TN,37219,2314,TN,5,Rep,Jim Cooper,C000754
1661 North Swan Road,Tucson,DE,85712,4051,DE,,Sen,Thomas Carper,C000174
90 State House Square,Hartford,CT,6103,3708,CT,,Sen,Richard Blumenthal,B001277
1010 Monarch Street,Lexington,KY,40513,1866,KY,6,Rep,Garland Barr,B001282
220 Dingess Street,Logan,WV,25601,3626,WV,3,Rep,Evan Jenkins,J000297
51 South University Avenue,Provo,UT,84601,4424,UT,,Sen,Mike Lee,L000577
26111 Antonio Parkway,Rancho Santa Margarita,CA,92688,5597,CA,45,Rep,Mimi Walters,W000820
701 Ocean Street,Santa Cruz,CA,95060,4027,CA,20,Rep,Sam Farr,F000030
10 East Doty Street,Madison,WI,53703,5103,WI,2,Rep,Mark Pocan,P000607
100 Peachtree Street Northwest,Atlanta,GA,30303,1906,GA,5,Rep,John Lewis,L000287
3211 Coors Boulevard Southwest,Albuquerque,NM,87121,5255,NM,1,Rep,Michelle Lujan Grisham,L000580
25 Sweeden Street,Caribou,ME,4736,2503,ME,,Sen,Angus King,K000383
1000 Commerce Park Drive,Williamsport,PA,17701,5475,PA,10,Rep,Tom Marino,M001179
221 Main Street,Hartford,ID,6106,1890,ID,,Sen,James Risch,R000584
310 North Mesa Street,El Paso,TX,79901,1301,TX,16,Rep,Beto O'Rourke,O000170
250 Prairie Center Drive,Eden Prairie,MN,55344,7904,MN,3,Rep,Erik Paulsen,P000594
1011 George Wallace Boulevard,Tuscumbia,AL,35674,1726,AL,,Sen,Richard Shelby,S000320
1100 Circle Drive,Fort Worth,TX,76119,8111,TX,33,Rep,Marc Veasey,V000131
2339 Gold Meadow Way,Gold River,CA,95670,6307,CA,7,Rep,Ami Bera,B001287
16 Court Street,Brooklyn,NY,11241,1010,NY,7,Rep,Nydia Velazquez,V000081
333 West College Avenue,Appleton,WI,54911,5898,WI,8,Rep,Reid Ribble,R000587
911 Main Street,Kansas City,MO,64105,2009,MO,,Sen,Claire McCaskill,M001170
811 Saint Michaels Drive,Santa Fe,NM,87505,7640,NM,3,Rep,Ben Lujan,L000570
3730 Roswell Road,Marietta,GA,30062,8818,GA,6,Rep,Tom Price,P000591
6363 De Zavala Road,San Antonio,TX,78249,2104,TX,20,Rep,Joaquin Castro,C001091
8267 Main Street,Ellicott City,MD,21043,9903,MD,7,Rep,Elijah Cummings,C000984
3509 Coffee Road,Modesto,CA,95355,1356,CA,10,Rep,Jeff Denham,D000612
115 Southeast 25th Avenue,Ocala,FL,34471,9179,FL,11,Rep,Richard Nugent,N000185
2340 Paseo Del Prado,Las Vegas,NV,89102,4340,NV,1,Rep,Dina Titus,T000468
2813 Wehrle Drive,Williamsville,NY,14221,7384,NY,27,Rep,Chris Collins,C001092
3240 W. Fullerton Ave,Chicago,IL,60647,2512,IL,4,Rep,Luis Gutierrez,G000535
1250 Hancock Street,Quincy,MA,2169,4331,MA,8,Rep,Stephen Lynch,L000562
1015 North Broadway Avenue,Oklahoma City,OK,73102,5849,OK,5,Rep,Steve Russell,R000604
2680 West Main Street,Pittsboro,IN,46167,2829,IN,4,Rep,Todd Rokita,R000592
633 West Wisconsin Avenue,Milwaukee,WI,53203,1918,WI,,Sen,Ron Johnson,J000293
2400 East Highland Drive,Jonesboro,AR,72401,6229,AR,1,Rep,Eric Crawford,C001087
301 West Michigan Avenue,Ypsilanti,MI,48197,5450,MI,12,Rep,Debbie Dingell,D000624
1050 Northgate Drive,San Rafael,CA,94903,2580,CA,2,Rep,Jared Huffman,H001068
120 South Fair Street,Olney,IL,62450,2258,IL,15,Rep,John Shimkus,S000364
110 West Reynolds Street,Plant City,FL,33563,3377,FL,15,Rep,Dennis Ross,R000593
"90 K Street, NE",Washington,DC,20001,4203,DC,0,Rep,Eleanor Norton,N000147
1 Diamond Causeway,Savannah,GA,31406,7434,GA,1,Rep,Buddy Carter,C001103
602 Chillicothe Street,Portsmouth,OH,45662,4262,OH,2,Rep,Brad Wenstrup,W000815
300 Ala Moana Blvd,Honolulu,HI,96850,1,HI,2,Rep,Tulsi Gabbard,G000571
3235 147th Street,Midlothian,IL,60445,3656,IL,1,Rep,Bobby Rush,R000515
4960 Southwest 72nd Avenue,Miami,FL,33155,5544,FL,27,Rep,Ileana Ros-Lehtinen,R000435
1011 George Wallace Boulevard,Tuscumbia,AL,35674,1726,AL,,Sen,Jefferson Sessions,S001141
3000 North Ponce De Leon Boulevard,St. Augustine,FL,32084,8600,FL,,Sen,Bill Nelson,N000032
150 South Bloomingdale Road,Bloomingdale,IL,60108,1494,IL,8,Rep,Tammy Duckworth,D000622
1 East Main Street,Bozeman   ,MT,59715,4759,MT,,Sen,Steve Daines,D000618
7 Court Square,Staunton,VA,24401,4281,VA,6,Rep,Bob Goodlatte,G000289
8764 Manchester Road,Brentwood,MO,63144,2735,MO,2,Rep,Ann Wagner,W000812
900 Georgia Avenue,Chattanooga,TN,37402,2230,TN,,Sen,Lamar Alexander,A000360
6262 Route 83,Willowbrook,IL,60527,2987,IL,6,Rep,Peter Roskam,R000580
2 Portland Fish Pier,Portland,ME,4101,4633,ME,1,Rep,Chellie Pingree,P000597
477 Michigan Avenue,Detroit,MI,48226,2576,MI,,Sen,Gary Peters,P000595
1900 Stubbs Avenue,Monroe,LA,71201,5751,LA,5,Rep,Ralph Abraham,A000374
3235 147th Street,Midlothian,IL,60445,3656,IL,,Sen,Richard Durbin,D000563
1150 Brookside Avenue,Redlands,CA,92373,6314,CA,31,Rep,Pete Aguilar,A000371
1202 Sam Houston Avenue,Huntsville,TX,77340,4638,TX,8,Rep,Kevin Brady,B000755
Clifty Street,Somerset,KY,42501,1782,KY,5,Rep,Harold Rogers,R000395
211 North Florence Street,Casa Grande,AZ,85122,4414,AZ,1,Rep,Ann Kirkpatrick,K000368
1910 Sunset Boulevard,Los Angeles,CA,90026,3445,CA,28,Rep,Adam Schiff,S001150
10124 Broadway,Los Angeles,CA,90003,4353,CA,43,Rep,Maxine Waters,W000187
4100 Empire Drive,Bakersfield,CA,93309,409,CA,23,Rep,Kevin McCarthy,M001165
5400 Trinity Road,Raleigh,NC,27607,3815,NC,4,Rep,David Price,P000523
2701 Black Road,Joliet,IL,60435,8412,IL,11,Rep,Bill Foster,F000454
101 North Church Street,Kissimmee,FL,34741,5054,FL,9,Rep,Alan Grayson,G000556
87 North Raymond Avenue,Pasadena,CA,91103,3966,CA,27,Rep,Judy Chu,C001080
600 East 1st Street,Rome,GA,30161,3149,GA,14,Rep,Tom Graves,G000560
1589 Elm Street,Manchester,NH,3101,1261,NH,,Sen,Kelly Ayotte,A000368
3400 Central Avenue,Riverside,CA,92506,2163,CA,41,Rep,Mark Takano,T000472
Father Duenas Avenue,Hagatna,GU,96910,5058,GU,0,Rep,Madeleine Bordallo,B001245
207 Maxwell Avenue,Anderson,SC,29037,5820,SC,3,Rep,Jeff Duncan,D000615
63 North Broad Street,Philadelphia,PA,19107,4602,PA,1,Rep,Robert Brady,B001227
5776 Stoneridge Mall Road,Pleasanton,CA,94588,2836,CA,15,Rep,Eric Swalwell,S001193
205 West 20th Street,Lorain,OH,44052,3777,OH,9,Rep,Marcy Kaptur,K000009
6632 Germantown Avenue,Philadelphia,PA,19119,2250,PA,2,Rep,Chaka Fattah,F000043
501 East Court Street,Jackson,MS,39201,5022,MS,,Sen,Thad Cochran,C000567
1501 East Mockingbird Lane,Victoria,TX,77904,2194,TX,27,Rep,Blake Farenthold,F000460
1234 Columbus Avenue,Boston,MA,2120,3400,MA,7,Rep,Michael Capuano,C001037
3003 South Loop West Freeway,Houston,TX,77054,1301,TX,9,Rep,Al Green,G000553
12750 Merit Drive,Dallas,TX,75251,1229,TX,32,Rep,Pete Sessions,S000250
219 North Milwaukee Street,Milwaukee,WI,53202,5818,WI,4,Rep,Gwen Moore,M001160
103 West Callaghan Street,Fort Stockton,TX,79735,7104,TX,23,Rep,Will Hurd,H001073
8485 West Sunset Road,Las Vegas,NV,89113,2251,NV,3,Rep,Joseph Heck,H001055
1280 Titus Avenue,Rochester,NY,14617,4125,NY,25,Rep,Louise Slaughter,S000480
45 East Loucks Street,Sheridan,WY,82801,6331,WY,0,Rep,Cynthia Lummis,L000571
107 West Charles Street,Muncie,IN,47305,2804,IN,6,Rep,Luke Messer,M001189
208 South Minnesota Avenue,Saint Peter,MN,56082,2545,MN,,Sen,Alan Franken,F000457
240 South Montezuma Street,Prescott,AZ,86303,4712,AZ,4,Rep,Paul Gosar,G000565
201 North Front Street,Wilmington,NC,28401,5093,NC,3,Rep,Walter Jones,J000255
1000 West Saint Joseph Street,Lansing,MI,48915,2552,MI,8,Rep,Mike Bishop,B001293
255 East Temple Street,Los Angeles,CA,90012,3334,CA,34,Rep,Xavier Becerra,B000287
100 North Broadway,Oklahoma City,OK,73102,9211,OK,,Sen,James Inhofe,I000024
633 West Wisconsin Avenue,Milwaukee,WI,53203,1918,WI,,Sen,Tammy Baldwin,B001230
6448 Main Street,North Branch,MN,55056,7068,MN,8,Rep,Richard Nolan,N000127
13 Municipal Plaza,Bloomfield,NJ,7003,3470,NJ,10,Rep,Donald Payne,P000604
14955 Dale Evans Parkway,Apple Valley,CA,92307,3061,CA,8,Rep,Paul Cook,C001094
494 State Street,Salem,OR,97301,3830,OR,5,Rep,Kurt Schrader,S001180
170 Westminster Street,Providence,RI,2903,2101,RI,,Sen,John Reed,R000122
1231 Lafayette Avenue,Bronx,NY,10474,5331,NY,15,Rep,Jose Serrano,S000248
7219 Dixie Highway,Louisville,KY,40258,3756,KY,3,Rep,John Yarmuth,Y000062
130 South Main Street,Greenville,SC,29601,4870,SC,,Sen,Tim Scott,S001184
5727 South Lewis Avenue,Tulsa,OK,74105,7146,OK,1,Rep,Jim Bridenstine,B001283
221 Main Street,Hartford,IA,6106,1890,IA,,Sen,Charles Grassley,G000386
7969 Cincinnati Dayton Road,West Chester Township,OH,45069,6637,OH,8,Rep,John Boehner,B000589
200 Administration Road,Oak Ridge,TN,37303,8823,TN,3,Rep,Charles Fleischmann,F000459
90 7th Street,San Francisco,CA,94103,6701,CA,12,Rep,Nancy Pelosi,P000197
2420 Springer Drive,Norman,OK,73069,3965,OK,4,Rep,Tom Cole,C001053
2 Hudson St,Kinderhook,NY,12106,2003,NY,19,Rep,Christopher Gibson,G000564
333 F Street,Chula Vista,TN,91910,2624,TN,,Sen,Bob Corker,C001071
1127 Sherman Street,Denver,CO,80203,2281,CO,,Sen,Michael Bennet,B001267
208 East Bayfront Parkway,Erie,PA,16507,2405,PA,3,Rep,Mike Kelly,K000376
"726 Exchange Street, Suite 601",Buffalo,NY,14210,1433,NY,26,Rep,Brian Higgins,H001038
441 Vine Street,Cincinnati,OH,45202,3003,OH,1,Rep,Steve Chabot,C000266
1800 Thibodo Road,Vista,CA,92081,7515,CA,49,Rep,Darrell Issa,I000056
6544 South General Bruce Drive,Temple,TX,76502,5811,TX,31,Rep,John Carter,C001051
12851 Southwest 42nd Street,Miami,FL,33175,3436,FL,26,Rep,Carlos Curbelo,C001107
62 East 2nd Street,Crossville,TN,38555,4564,TN,6,Rep,Diane Black,B001273
